(140,98),
(141,97),
(142,96),
(143,95),
(144,94),
(145,93),
(146,93),
(147,93),
(148,93),
(149,93),
(150,93),
(151,93),
(152,93),
(153,93),
(154,93),
(155,93),
(156,93),
(157,93),
(158,93),
(159,93),
(160,93),
(161,93),
(162,93),
(163,93),
(164,93),
(165,93),
(166,93),
(167,93),
(168,92),
(169,91),
(170,90),
(171,89),
(172,88),
(173,87),
(174,86),
(175,85),
(176,84),
(177,83),
(178,82),
(179,81),
(180,80),
(181,79),
(182,78),
(183,77),
(184,76),
(185,75),
(186,74),
(187,73),
(188,72),
(189,71),
(190,70),
(191,70),
(192,69),
(193,68),
(194,68),
(195,68),
(196,68),
(197,68),
(198,68),
(199,68),
(200,67),
(201,67),
(202,66),
(203,65),
(204,64),
(205,63),
(206,62),
(207,61),
(208,60),
(209,59),
(210,58),
(211,57),
(212,56),
(213,55),
(214,54),
(215,53),
(216,52),
(217,51),
(218,50),
(219,50),
(220,50),
(221,50),
(222,50),
(223,50),
(224,50),
(225,50),
(226,50),
(227,50),
(228,50),
(229,50),

